pm10,pm25,so2,co,o3,no2,categori
66,91,51,13,51,28,2
80,99,54,14,42,28,2
70,84,58,12,40,23,2
62,79,53,9,53,17,2
67,94,57,11,57,18,2
65,93,53,16,61,28,2
75,102,52,12,51,18,1
79,105,57,14,55,28,1
58,87,44,8,23,15,2
63,95,45,11,26,19,2
55,78,47,7,24,14,2
54,82,48,7,34,15,2
59,88,48,8,26,16,2
67,97,48,14,26,22,2
60,86,47,9,30,17,2
53,73,49,6,35,13,2
49,71,49,6,32,12,2
59,88,49,7,23,15,2
73,114,52,9,24,21,1
63,89,51,10,21,17,2
66,99,50,14,21,19,2
62,87,48,10,25,21,2
63,93,50,7,18,22,2
80,111,52,7,24,29,1
53,64,48,4,22,17,2
34,56,50,5,24,15,2
59,89,52,9,29,23,2
69,106,51,9,26,19,1
85,127,51,11,27,22,1
58,80,51,5,25,15,2
72,110,50,9,29,15,1
58,81,50,6,26,14,2
71,30,52,8,25,19,2
79,26,49,10,23,19,2
54,89,41,11,32,20,2
62,100,43,7,41,17,2
57,93,41,11,36,23,2
56,93,41,9,38,20,2
50,86,41,9,37,21,2
68,108,37,9,32,28,1
55,93,27,13,30,24,2
49,80,36,12,32,23,2
63,103,35,13,28,21,1
67,111,42,13,22,25,1
62,88,35,20,19,22,2
64,102,35,28,20,28,1
67,102,38,19,18,24,1
56,102,31,19,15,31,1
74,140,36,22,20,26,1
51,90,29,14,19,21,2
47,84,33,16,21,22,2
58,107,38,14,23,25,1
66,119,37,15,16,27,1
82,147,39,18,20,24,1
67,118,36,10,26,18,1
72,134,34,18,29,22,1
60,117,36,18,30,22,1
65,124,34,13,27,21,1
65,125,36,14,21,29,1
57,98,27,12,26,22,2
57,92,25,15,27,27,2
53,90,23,18,19,36,2
53,89,29,9,25,19,2
52,91,25,12,27,28,2
52,86,29,9,28,19,2
61,108,24,18,22,34,1
53,87,22,10,29,25,2
49,81,28,10,29,26,2
47,77,25,10,23,20,2
57,98,27,13,18,25,2
56,89,42,10,16,27,2
58,97,28,25,9,55,2
54,90,30,17,16,41,2
62,101,28,23,16,45,1
53,83,34,19,11,45,2
74,123,47,26,20,58,1
50,68,23,16,12,35,2
35,67,28,13,13,35,2
58,103,26,14,23,28,1
64,107,39,19,17,52,1
76,129,35,30,14,63,1
45,70,39,8,16,22,2
68,120,28,22,17,41,1
59,99,25,17,21,30,2
72,128,35,24,21,50,1
64,106,28,16,14,33,1
55,76,27,14,20,31,2
55,70,33,16,14,30,2
58,81,33,12,19,25,2
68,102,27,11,27,22,1
71,106,28,12,34,25,1
56,74,26,9,29,29,2
64,86,34,10,22,27,2
68,94,32,10,26,26,2
70,101,33,9,28,25,1
64,83,35,7,24,23,2
54,71,32,6,21,15,2
46,59,29,5,18,13,2
63,89,33,10,18,24,2
53,69,28,10,17,23,2
66,95,31,12,24,30,2
71,97,30,11,24,29,2
63,80,29,8,28,20,2
63,89,31,8,32,19,2
66,95,26,10,32,28,2
74,100,27,15,24,24,2
48,66,27,7,26,17,2
53,76,31,9,24,26,2
58,80,26,9,27,28,2
53,79,26,13,21,34,2
70,108,25,23,28,38,1
65,95,27,14,17,32,2
61,91,29,10,23,28,2
68,102,31,13,20,30,1
59,85,28,13,24,32,2
73,105,29,12,39,35,1
54,72,26,7,27,24,2
64,81,53,12,48,28,2
68,81,56,14,40,27,2
72,100,54,11,44,23,2
94,129,51,15,50,23,1
77,111,56,12,62,20,1
64,79,51,10,55,17,2
84,108,54,11,51,23,1
59,83,22,18,19,35,2
59,84,21,20,24,38,2
54,76,22,20,17,41,2
63,87,20,13,14,30,2
59,79,23,20,19,38,2
59,83,22,15,19,32,2
52,72,24,13,28,31,2
58,80,26,16,24,38,2
58,77,24,14,23,34,2
66,89,23,23,18,47,2
59,77,22,15,23,40,2
57,77,24,17,27,35,2
51,70,23,14,25,25,2
58,82,25,13,22,26,2
62,86,31,13,17,29,2
56,74,39,18,13,35,2
56,80,28,25,17,39,2
64,84,29,17,16,34,2
54,68,26,21,13,45,2
75,109,33,25,21,44,1
52,64,24,16,18,31,2
44,58,27,15,16,32,2
54,79,26,17,24,43,2
65,90,31,17,17,39,2
59,82,36,14,17,32,2
54,66,31,10,21,23,2
65,94,27,18,22,32,2
55,79,24,18,26,38,2
66,94,30,15,20,28,2
65,94,26,19,19,38,2
60,82,50,16,64,26,2
68,92,54,16,76,28,2
68,93,57,16,61,32,2
66,86,46,12,76,13,2
64,84,51,16,65,25,2
61,80,50,11,72,14,2
61,83,52,15,68,24,2
70,99,53,14,72,23,2
68,87,54,13,67,22,2
71,99,56,15,48,32,2
65,90,51,12,61,25,2
67,91,54,12,57,25,2
55,73,52,11,58,17,2
69,91,53,12,58,20,2
69,90,52,11,44,16,2
67,85,66,17,43,28,2
61,84,51,20,44,33,2
77,98,59,15,49,27,2
47,65,22,11,24,24,2
